,author,authorData,downloads,gated,id,inference,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,sizes,min_size,max_size,trending,mined_date
32,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",12,False,Xenova/multi-qa-MiniLM-L6-cos-v1,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:22:25.000Z,2,feature-extraction,False,model,False,90.4MB | 45.3MB | 23MB,24117248.0,94791270.4,33,16-07-2024
33,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",11,False,Xenova/multi-qa-distilbert-cos-v1,NotSupported_PipelineLibraryPairNotSupported,2024-03-15T03:19:15.000Z,0,feature-extraction,False,model,False,266MB | 133MB | 66.9MB,70149734.4,278921216.0,34,16-07-2024
34,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",7,False,Xenova/multi-qa-mpnet-base-cos-v1,NotSupported_PipelineLibraryPairNotSupported,2024-03-15T03:19:47.000Z,0,feature-extraction,False,model,False,436MB | 218MB | 110MB,115343360.0,457179136.0,35,16-07-2024
35,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",17,False,Xenova/multi-qa-mpnet-base-dot-v1,NotSupported_PipelineLibraryPairNotSupported,2024-03-15T03:20:16.000Z,1,feature-extraction,False,model,False,436MB | 218MB | 110MB,115343360.0,457179136.0,36,16-07-2024
36,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",4,False,Xenova/nli-mpnet-base-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:04:38.000Z,0,feature-extraction,False,model,False,436MB | 218MB | 110MB,115343360.0,457179136.0,37,16-07-2024
37,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",49,False,Xenova/paraphrase-MiniLM-L3-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:22:32.000Z,0,feature-extraction,False,model,False,69MB | 34.6MB | 17.5MB,18350080.0,72351744.0,38,16-07-2024
38,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",3,False,Xenova/paraphrase-mpnet-base-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:04:52.000Z,0,feature-extraction,False,model,False,436MB | 218MB | 110MB,115343360.0,457179136.0,39,16-07-2024
39,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",1508,False,Xenova/paraphrase-multilingual-mpnet-base-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:05:28.000Z,2,feature-extraction,False,model,False,1.11GB | 555MB | 279MB,292552704.0,1191853424.64,40,16-07-2024
40,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",5,False,Xenova/xlm-r-100langs-bert-base-nli-stsb-mean-tokens,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:06:02.000Z,0,feature-extraction,False,model,False,1.11GB | 555MB | 279MB,292552704.0,1191853424.64,41,16-07-2024
41,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",69,False,Xenova/all-MiniLM-L12-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:22:43.000Z,3,feature-extraction,False,model,False,133MB | 66.7MB | 34MB,35651584.0,139460608.0,42,16-07-2024
42,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",4,False,Xenova/scibert_scivocab_uncased,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:23:14.000Z,0,feature-extraction,False,model,False,438MB | 219MB | 111MB,116391936.0,459276288.0,43,16-07-2024
43,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",4,False,Xenova/spanbert-large-cased,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:25:46.000Z,0,feature-extraction,False,model,False,1.33GB | 666MB | 335MB,351272960.0,1428076625.92,44,16-07-2024
44,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",4,False,Xenova/spanbert-base-cased,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:26:18.000Z,0,feature-extraction,False,model,False,431MB | 216MB | 109MB,114294784.0,451936256.0,45,16-07-2024
